" Bowling Green State University. Center for Archival Collections.""", Jerome Library 5th Floor, Bowling Green,OH,43403-0175 ,419/372-2411,Fax 419/372-0155,, ," Tues. - Friday 8:00am till 5:00pm, Monday 8:00 am - 9:00 pm during academic year; M-F, 8 am-5pm in summer.","Research, preservation, conservation, microfilm.", http://www.bgsu.edu/colleges/library/cac.html ,,,,,,,
 Association of Two Toledos., 7239 Candlewood Lane, Sylvania,OH ,4360743560,,,, , Meet on 3rd Wednesdays of the month 6:30pm.,"Sister city relationship with Toledo, Spain. Scholarships - University students and Spanish teachers to study Spanish in Toledo, Spain. Artifacts at the Canaday Center, other presentations/projects throughout the year. Spanish conversation 2nd Monday, 6:30. English Classes for students from Toledo, Spain. During July, 3 week Spanish conversation group meets. Contact president to be put on mailing list.", http://associationoftwotoledos.org ,,,,,,,
 Maumee Valley Volkssporters., Public Library (call for location)., ,, ,419-350-4345,,, , no regular meetings,"Non-competitive walks, or swim events for all ages. Walks are normally 5K or 10K events with marked trails or written directions-through parks or towns, etc. Walk at your own pace during stated hours. Fee required for stamped entry in record books (record books available for purchase). Also year round walks.", http://www.AVA.org ,,,,,,,
 Association of Fundraising Professionals, P. O. Box 2507," Toledo,",Ohio,43606,,,, ," Meetings are the 4th Wednesday of the month, 11:30. Toledo Club, 235 14th Street.","Fundraising among non-profit organizations, professional organization, encourages training, support and networking among fundraisers and their non-profit agencies, also encourages philanthropy in the community. National Philanthropy Day celebration in November each year.", http://afpnwohio.afpnet.org ,,,,,,,
" Polish Army Veterans Association of America, Post #74.", St. Adelbert Church," Toledo,",Ohio,43608,419-666-1386,,Stanley Kobylak, ," Third Sunday every other month, 2 pm.","To promote military and veteran traditions, good citizenship and the love of the country. To preserve the honor and the pride of Polish ancestry. | Help members, invalids and the disabled veterans. Scholarships for higher education.", ,,,,,,,
 Gathering of Quilters Guild., Holland Free Methodist Church. 6605 Angola, Holland,OH,43528,,,, ," 6:15 p.m. 3rd Thursday of Sept, Oct. Nov, Jan, Feb. March, April, May","Purpose is to promote quilting;provide educational programs, speakers, and classes;sharing projects. ", http://www.gatheringofquilters.org ,,,,,,,
 German American Festival Society.," 3624 Seaman St., Oak Shade Grove", Oregon,OH,43616,419/691-4116,419-691-6460 Answering machine + Fax,, , varies,To create and promote a better understanding of German and American cultural activities. | To establish a German American Cultural Center., http://www.gafsociety.org ,,,,,,,
 Greater Toledo Amateur Radio Association., PO Box 9181, Toledo,OH,43697-9181 ,,,, ," Third Tuesday, March - December 7:30 p.m. American Red Cross, 3100 W. Central, Toledo, Ohio,","Non-profit organization dealing with amateur radio operation, interests. | Advancement, provision of public interest communication as required by emergency of public benefit needs.", ,,,,,,,
 Ability Center of Greater Toledo. Auxilary, 5605 Monroe St, Sylvania,OH,43560,,,, , Second Wednesday of the month 10:00 am.,Fund-raising and support of the Center to assist the Center in providing independent living services for persons with disabilities. | Fall fashion show/luncheon. , ,,,,,,,
 Good Bears of The World., , ,, ,419 531-5365,,, , Irregular meetings,"Spreading love and happiness to nursing homes, abused and sick children, the handicapped, by the gifting of teddy bears. | Have donated bears to the fire department, police etc. EMS and service agency. | Interested in learning the history of teddies and about our organization. | Give talks on the club to anyone. A 501-3-C charity.", http://www.goodbearsof theworld.org ,,,,,,,
 Greater Toledo Brain Injury Support Group., 5605 W. Monroe St. (Ability Center), Sylvania,OH,43560,419-266-1678 (Cell),Fax 419/882-4813,Douglas Kidd, dkidd@rockets-utoledo.edu ," First Tuesday each month, 6:30 to 8:20 pm.","Provide support for persons with brain injuries, their friends and family. | Educational presentations on subjects relative to brain injuries and a socialization calandar. Sometimes work with UT Disabilities Studies Program.", ,,,,,,,
 Home Builders Association of Greater Toledo.," 1911 Indian Wood Circle, Suite A"," Maumee,",Ohio,43537,419/473-2507,Fax 419/473-3015,Bill Brennan,Executive Director , 8:30 am-5 pm.,"To promote the interest of the residential construction industry in the Northwest Ohio area. | Trade association for the promotion of new home construction, sponsor of Parade of Homes, Home Show, Sales Marketing Awards.", http://www.toledohba.com ,,,,,,,
 Kiwanis Club of Downtown Toledo., P.O. Box 309, Toledo,OH,43697,419-242-9511,,Ms. Julie Dangelo, ," Toledo Club, 235 14th St , Every Wednesday 12:00 noon.",Serving the youth of central Toledo since 1916. Four scholarships annually to TPS students., http://www.toledokiwanis.org ,,,,,,,
 Latins United Organization of Toledo., 706 South Saint Clair St, Toledo,OH,43609,419/255-5746,,Dora Parker,President ," Third Sunday each month, 1:30 pm.","To foster and improve the social conditions of the organization's members, their families, and the Hispanic/Latino community. To educate the community about governmental and political proceses and operations. To develop and establish common ground between the diverse Hispanic/Latino cultures so that we may further an understanding and respect of cultural diversity and foster unity. We also provide scholarships.", ,,,,,,,
 Maumee Valley Historical Society., 1035 River Rd, Maumee,OH,43537,419/893-9602,Fax 419/893-3108,Paul Sullivan,President , Thursday - Sunday 11:30am - 4:30pm. Office open. Guiden tours: 12:30 to 2:30.,"Operates the Wolcott House Museum Complex. Seven historic buildings with furnishings representative of 19th century Maumee Valley life and culture. Public programs and special events on site. | Has a 5000 volume historical library housed at the Toledo-Lucas County Public Library in the Local History room. Love of history, education, conservation, preservation, Wolcott House Museum Complex, educational programing, publications, and opportunities to volunteer.", http://www.wolcotthouse.org ,,,,,,,
 Lucas County Retired Teachers Association., 2155 Arlington Ave, Toledo,OH,43609,,,, ," Various sites for luncheon meetings (usually noon), 6 times/year","To further interests of retired teachers and offer opportunities to socialize with fellow educators. We strive to maintain and improve the social, educational, economic and recreational welfare and status of retired educators in Lucas County. Service and charitable projects are also undertaken by members. Inform members of changes in benefits and advocate for their interests.", http://www.lcrta.weebly.com ,,,,,,,
 Maumee Valley Wheelmen., , ,, ,419 467-0144,,Steve Sams, ," Has no regularly scheduled meetings, but informal",To promote fast paced recreational and competitive bike riding. | The club has weekly bike racing events in the metro-Toledo area and also weekend training rides., http://www.freewheel.com ,,,,,,,
 Northwest Ohio Baptist Association," 402 South Ave. P.O. Box 962 Toledo, Ohio 43697", Toledo,Ohio,43697,419-243-1255,,, , Monday - 1pm. - 4:30pm. Tues. - Thursday 9:00 am. - 4:30 pm.,Southern Baptist churches working together . Associated with the Southern Baptist Convention., http://www.nwoba.org ,,,,,,,
 Maumee Valley Herb Society. (MVHS)," Toledo Botanical Garden (TBG), Conference Center ", Toledo,OH,43615,419-472-8072,,Mary Farley, ," Third Wednesday each month, 9:30am.; some evening meetings","Purpose is to further knowledge and use of herbs among members and the public. Maintain herb garden at Toledo Botanical Garden. Meeting programs include topics on cooking, crafting, growing,harvesting, drying and herbal lore. Publish monthly newsletter.", http://www.karenlandis.com/mvhs ,,,,,,,
 Maumee Bay Carvers Association., , ,, ,,,, ," #1 Oregon Fire Station, one Sunday each month, 6:00 pm.","Promote carving and have contests and seminars in carving. | Have a decoy contest every September at, Crane Creek. | Membership carving interest is approximately 75% bird and decoy carving, and 25% other types of carving. Always seeking new members.", ,,,,,,,
 Oregon Community Theatre., P.O. Box 167547, Oregon,OH,43616,419/691-1398,,, , No date or hours given,"A Community Theatre, perform 3 plays per season (Sept.-May); Children's Theatre in July. Scholarships for two seniors studying theater arts.", http://www.oregoncommunitytheatre.org ,,,,,,,
 Maumee Valley Model Boat Club., Group meets at various locations, ,, ,,,Al Harris 419-472-1331, ," First Thursday of each month, 6:30 pm., Bob Evans, Maumee","Purpose is to foster the enjoyment of scale radio control model boating. The club members operate primarily electric boats, followed by some sail, submarines, and steam. No gas boats. Boats range from a few inches to several feet and include naval, passenger, pleasure, fishing, work, hovercraft, and submarines. Several members build static models only for dispaly.", http://mvmbc1.tripod.com ,,,,,,,
 Maumee Uptown Business Association., 605 Conant St, Maumee,OH,43537,,,, , See website,"To attract new business to and promote shopping in the uptown area of Maumee. To stimulate interest in Old Maumee. To promote civic pride and community events in the Uptown area. Events include the community picnic July before the fireworks. Maumee Summer Fair in August, Holiday 5K Run, also known as the Holiday Hustle and lighted parades. ", http://www.maumeeuptown.com ,,,,,,,
 Naturalists' Camera Club of Toledo., , ,, ,,,Robert Ellis,419-841-6149 ," Secor Park Nature Center, second Sunday each month, 2 pm.",To make a photographer a better naturalist and the naturalist a better photographer. We are a non-competitive club. We learn from one another., http://www.naturalistcameraclub.com ,,,,,,,
 Needle Arts Guild of Toledo., 703 Butterfield Dr, Toledo,OH,43615,419 382-1329,needleartstoledo@aol.com,Susan Pellitieri,Newsletter editor ," Varies each month, 2nd Wednesday at 6:30 pm. at the Maumee Senior Center.",To foster high standards of design and workmanship in all kinds of embroidery. | To teach the embroidery arts. | To preserve the national needle arts heritage., http:\\www.needle-arts-toledo.org ,,,,,,,
 Daughters of the American Revolution. Ursula Wolcott--Black Swamp, , ,, ,,,, ," Meeting place varies in the Toledo area, first Sat","To perpetuate the memory and spirit of the men and women who achieved American independance; to promote the development of an enlightened public opinion; and to foster patriotic citizenship; these are the objectives of our society, Daughters of the American Revolution. | The Ursula Wolcott-Black Swamp Chapter, Daughters of the American Revolution is a local chapter of the The National Society Daughters of the American Revolution which is classified as an educational, nonprofit organization. The fundamental purpose of DAR is to promote good citizenship through education. All programs are planned to promote leadership, dependability, and patriotism. | The NSDAR is nonpolitical. Each member chapter and state society is cautioned to refrain from.", ,,,,,,,
 Junior League of Toledo., Toledo Club 235 14th Street, Toledo,OH,43604,419/474-6262,Fax 419/474-6424,Jane Vargo,Office coordinator. , Weekday - hours vary.,"An international women's training organization with close to 200,000 members and 300 chapters worldwide. ", http://www.juniorleaguetoledo.org ,,,,,,,
 League of Women Voters, P.O. Box 2506, Toledo,OH,43606-2506 ,419/475-4371,,Yvette Thompson Gordon,President ," General meetings once a month, time and location vary, check website www.lwvtoledo.org","A non-partisan political organization, encourages the informed and active participation in government and influences public policy through education and advocacy. | Members participate in voter registration, naturalization ceremonies, candidates forums, publication of Directory of Public Officials, legislative interviews, fund raising. | Current focuses include education & environment committees. | The Toledo League of Women Voters was founded in 1921 --one year after women received the right to vote.", http://www.lwvtoledo.org ,,,,,,,
